!!!SBtab SBtabVersion='1.0' Document='model' Date='2020-3-5'							
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2020-3-5'							
!ID	!Name	!ReactionFormula	!Identifiers:kegg.reaction				
R_3_deoxy_7__R01826	R_3_deoxy_7__R01826	C_d_erythrose_4_phosphate + C_phosphoenolpyruvate + C_h2o <=> C_2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate + C_orthophosphate	R01826				
R_3_dehydroq_R03083	R_3_dehydroq_R03083	C_2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate <=> C_3_dehydroquinate + C_orthophosphate	R03083				
R_3_dehydroq_R03084	R_3_dehydroq_R03084	C_3_dehydroquinate <=> C_3_dehydroshikimate + C_h2o	R03084				
R_quinateshi_R06847	R_quinateshi_R06847	C_3_dehydroshikimate + C_nadh <=> C_shikimate + C_nad	R06847				
R_shikimate__R02412	R_shikimate__R02412	C_shikimate + C_atp <=> C_shikimate_3_phosphate + C_adp	R02412				
R_3_phosphos_R03460	R_3_phosphos_R03460	C_phosphoenolpyruvate + C_shikimate_3_phosphate <=> C_5_o_1_carboxyvinyl_3_phosphoshikimate + C_orthophosphate	R03460				
R_chorismate_R01714	R_chorismate_R01714	C_5_o_1_carboxyvinyl_3_phosphoshikimate <=> C_chorismate + C_orthophosphate	R01714				
R_chorismate_R01715	R_chorismate_R01715	C_chorismate <=> C_prephenate	R01715				
R_hydroxyphe_R01728	R_hydroxyphe_R01728	C_prephenate + C_nad <=> C_nadh + C_co2 + C_3_4_hydroxyphenylpyruvate	R01728				
R_tyrosine_t_R00734	R_tyrosine_t_R00734	C_3_4_hydroxyphenylpyruvate + C_l_glutamate <=> C_l_tyrosine + C_2_oxoglutarate	R00734				
R_RXN_Q00093	R_RXN_Q00093	C_l_tyrosine + C_nadh + C_oxygen <=> C_34_dihydroxy_l_phenylalanine + C_nad + C_h2o					
							
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2020-3-5'							
!ID	!Name	!Identifiers:kegg.compound	!IsConstant				
C_shikimate_3_phosphate	C_shikimate_3_phosphate	C03175	FALSE				
C_l_glutamate	C_l_glutamate	C00025	FALSE				
C_3_dehydroshikimate	C_3_dehydroshikimate	C02637	FALSE				
C_atp	C_atp	C00002	FALSE				
C_shikimate	C_shikimate	C00493	FALSE				
C_2_oxoglutarate	C_2_oxoglutarate	C00026	FALSE				
C_l_tyrosine	C_l_tyrosine	C00082	FALSE				
C_2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate	C_2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate	C04691	FALSE				
C_oxygen	C_oxygen	C00007	FALSE				
C_h2o	C_h2o	C00001	FALSE				
C_d_erythrose_4_phosphate	C_d_erythrose_4_phosphate	C00279	FALSE				
C_3_dehydroquinate	C_3_dehydroquinate	C00944	FALSE				
C_5_o_1_carboxyvinyl_3_phosphoshikimate	C_5_o_1_carboxyvinyl_3_phosphoshikimate	C01269	FALSE				
C_prephenate	C_prephenate	C00254	FALSE				
C_nad	C_nad	C00003	FALSE				
C_nadh	C_nadh	C00004	FALSE				
C_orthophosphate	C_orthophosphate	C00009	FALSE				
C_chorismate	C_chorismate	C00251	FALSE				
C_3_4_hydroxyphenylpyruvate	C_3_4_hydroxyphenylpyruvate	C01179	FALSE				
C_34_dihydroxy_l_phenylalanine	C_34_dihydroxy_l_phenylalanine	C00355	FALSE				
C_phosphoenolpyruvate	C_phosphoenolpyruvate	C00074	FALSE				
C_co2	C_co2	C00011	FALSE				
C_adp	C_adp	C00008	FALSE				
							
!!SBtab TableID='Flux' TableType='Quantity' TableName='Flux' DocumentName=' Document=' Unit='mM/s' SBtabVersion='1.0' Date='2020-3-5'							
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	!Value				
flux	R_3_deoxy_7__R01826	R01826	1				
flux	R_3_dehydroq_R03083	R03083	1				
flux	R_3_dehydroq_R03084	R03084	1				
flux	R_quinateshi_R06847	R06847	1				
flux	R_shikimate__R02412	R02412	1				
flux	R_3_phosphos_R03460	R03460	1				
flux	R_chorismate_R01714	R01714	1				
flux	R_chorismate_R01715	R01715	1				
flux	R_hydroxyphe_R01728	R01728	1				
flux	R_tyrosine_t_R00734	R00734	1				
flux	R_RXN_Q00093		1				
							
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='ConcentrationConstraint' DocumentName=' Document=' Unit='M' SBtabVersion='1.0' Date='2020-3-5'							
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	!Min	!Max			
concentration	C_shikimate_3_phosphate	C03175	1.00E-06	0.01			
concentration	C_l_glutamate	C00025	1.00E-06	0.01			
concentration	C_3_dehydroshikimate	C02637	1.00E-06	0.01			
concentration	C_atp	C00002	0.005	0.005			
concentration	C_shikimate	C00493	1.00E-06	0.01			
concentration	C_2_oxoglutarate	C00026	1.00E-06	0.01			
concentration	C_l_tyrosine	C00082	1.00E-06	0.01			
concentration	C_2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate	C04691	1.00E-06	0.01			
concentration	C_oxygen	C00007	0.000273	0.000273			
concentration	C_h2o	C00001	1	1			
concentration	C_d_erythrose_4_phosphate	C00279	1.00E-06	0.01			
concentration	C_3_dehydroquinate	C00944	1.00E-06	0.01			
